GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
310M200US46520,46520,"Urban Honolulu, HI Metro Area",580200,3505
310M200US46540,46540,"Utica-Rome, NY Metro Area",109900,1725
310M200US46660,46660,"Valdosta, GA Metro Area",122900,3643
310M200US46700,46700,"Vallejo-Fairfield, CA Metro Area",279100,2749
310M200US47020,47020,"Victoria, TX Metro Area",119000,4119
310M200US47220,47220,"Vineland-Bridgeton, NJ Metro Area",162400,2326
310M200US47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",233800,1133
310M200US47300,47300,"Visalia-Porterville, CA Metro Area",162700,2032
310M200US47380,47380,"Waco, TX Metro Area",110800,2429
310M200US47460,47460,"Walla Walla, WA Metro Area",188700,7712
310M200US47580,47580,"Warner Robins, GA Metro Area",130300,3151
310M200US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",378400,924
310M200US47940,47940,"Waterloo-Cedar Falls, IA Metro Area",133300,1714
310M200US48060,48060,"Watertown-Fort Drum, NY Metro Area",141000,3821
310M200US48140,48140,"Wausau, WI Metro Area",144500,1782
310M200US48260,48260,"Weirton-Steubenville, WV-OH Metro Area",86400,1499
310M200US48300,48300,"Wenatchee, WA Metro Area",232000,4905
310M200US48540,48540,"Wheeling, WV-OH Metro Area",96300,2212
310M200US48620,48620,"Wichita, KS Metro Area",124400,1253
310M200US48660,48660,"Wichita Falls, TX Metro Area",90100,1993
310M200US48700,48700,"Williamsport, PA Metro Area",138500,2488
310M200US48900,48900,"Wilmington, NC Metro Area",200200,4612
310M200US49020,49020,"Winchester, VA-WV Metro Area",205700,6120
310M200US49180,49180,"Winston-Salem, NC Metro Area",143000,1310
310M200US49340,49340,"Worcester, MA-CT Metro Area",244400,1453
310M200US49420,49420,"Yakima, WA Metro Area",158200,2252
310M200US49620,49620,"York-Hanover, PA Metro Area",168400,1170
310M200US49660,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",98900,972
310M200US49700,49700,"Yuba City, CA Metro Area",184800,4910
310M200US49740,49740,"Yuma, AZ Metro Area",112100,2202
