"area_fips","area_title","construction_lq","ed.health_lq","finance_lq","goods_lq","info_lq","leis.hosp_lq","manufacturing_lq","mining_lq","other.serv_lq","pro.bus_lq","pub.admin_lq","service_lq","trade.trans.util_lq","unclassified_lq"
"C1302","Bay City, MI MSA",0.64,1.26,0.61,1.03,0.7,1.1,1.34,0.35,1.16,0.63,NA,0.99,1.12,0.48
"C1322","Beckley, WV MSA",0.67,1.32,0.48,0.77,0.62,1.18,0.32,3.9,1.1,0.58,NA,0.98,1.08,0.05
"C1346","Bend-Redmond, OR MSA",1.54,1.07,0.82,0.98,1.16,1.45,0.76,0.51,1.29,0.8,NA,1.05,1,0.06
"C1378","Binghamton, NY MSA",0.81,1.08,0.62,1.05,0.87,0.93,1.31,0.26,1.18,0.65,NA,0.91,1,0.79
"C1401","Bloomington, IL MSA",0.68,0.78,3.83,0.61,0.42,1.15,0.58,0.52,1.05,0.74,NA,1.1,0.86,0.26
"C1450","Boulder, CO MSA",0.63,0.89,0.7,0.91,2.32,1.07,1.16,0.3,0.95,1.4,NA,1,0.73,0.13
"C1486","Bridgeport-Stamford-Norwalk, CT MSA",0.65,1.16,1.7,0.75,1.51,0.92,0.91,0.07,1.39,1.13,NA,1.11,0.92,0.23
"C1518","Brownsville-Harlingen, TX MSA",0.48,1.75,0.65,0.48,0.44,0.99,0.49,0.37,0.54,0.58,NA,1.01,1.01,0.23
"C1538","Buffalo-Cheektowaga-Niagara Falls, NY MSA",0.81,1.09,1.1,0.93,0.67,1.01,1.1,0.24,1.2,0.92,NA,1.01,0.98,1.08
"C1594","Canton-Massillon, OH MSA",0.96,1.25,0.8,1.5,0.49,1.05,1.93,0.59,1.11,0.58,NA,0.94,0.98,0.06
"C1598","Cape Coral-Fort Myers, FL MSA",1.99,0.74,0.87,0.86,0.65,1.54,0.26,0.98,1.05,0.9,NA,1.02,1.11,0.1
"C1606","Carbondale-Marion, IL MSA",0.8,1.11,0.88,0.89,0.77,1.01,0.81,1.67,0.66,0.5,NA,0.87,0.91,0.26
"C1618","Carson City, NV MSA",0.78,0.9,0.68,0.88,0.42,1.15,1.06,0.12,0.72,0.48,NA,0.77,0.74,0.17
"C1702","Chico, CA MSA",0.89,1.48,0.78,0.9,0.67,0.97,0.6,2.78,1.45,0.5,NA,0.97,0.91,2.07
"C1730","Clarksville, TN-KY MSA",0.69,0.88,0.65,1.08,0.69,1.16,1.38,0.5,0.71,0.7,NA,0.89,1,0.07
"C1746","Cleveland-Elyria, OH MSA",0.74,1.26,1.06,1.09,0.69,0.92,1.41,0.22,0.95,1,NA,1.01,0.92,0.15
"C1766","Coeur d'Alene, ID MSA",1.51,0.85,0.9,1.09,0.49,1.36,0.97,0.47,0.76,0.71,NA,0.93,1.01,0
"C1778","College Station-Bryan, TX MSA",1.02,0.67,0.64,0.87,0.62,1.24,0.58,2.17,0.78,0.52,NA,0.76,0.78,0.09
"C1786","Columbia, MO MSA",0.81,0.87,0.95,0.56,0.72,1.1,0.5,0.15,0.78,0.85,NA,0.9,0.9,0
"C1858","Corpus Christi, TX MSA",2.04,1.02,0.78,1.2,0.54,1.27,0.56,2.42,0.96,0.62,NA,0.93,0.98,0.09
"C1870","Corvallis, OR MSA",0.55,1.1,0.5,0.91,0.82,1,0.92,2.02,1.44,0.83,NA,0.86,0.64,0
"C1888","Crestview-Fort Walton Beach-Destin, FL MSA",1.2,0.72,1.05,0.61,0.45,1.84,0.38,0.07,1.11,0.91,NA,1.03,0.97,0.37
"C1906","Cumberland, MD-WV MSA",0.73,1.39,0.54,1.03,1.24,1.05,1.32,0.26,0.9,0.42,NA,0.91,0.89,0.06
"C1910","Dallas-Fort Worth-Arlington, TX MSA",1.12,0.8,1.44,0.95,1.21,0.98,0.91,0.67,0.87,1.16,NA,1.05,1.12,0.2
"C1918","Danville, IL MSA",0.45,0.57,0.78,1.47,0.41,0.78,2.15,0.49,0.91,0.51,NA,0.83,1.36,0.27
"C1934","Davenport-Moline-Rock Island, IA-IL MSA",1.11,0.97,0.69,1.26,0.63,0.92,1.49,0.3,1.15,0.96,NA,0.97,1.08,0.2
"C1938","Dayton, OH MSA",0.7,1.24,0.81,0.98,1.12,0.97,1.26,0.13,0.89,0.93,NA,0.99,0.93,0.08
"C1950","Decatur, IL MSA",1.39,1.12,0.67,1.82,0.6,0.94,2.32,0.15,0.94,0.43,NA,0.89,1.1,0.61
