"","area_fips","area_title","construction_lq","ed.health_lq","finance_lq","goods_lq","info_lq","leis.hosp_lq","manufacturing_lq","mining_lq","other.serv_lq","pro.bus_lq","pub.admin_lq","service_lq","trade.trans.util_lq","unclassified_lq"
"362","C4522","Tallahassee, FL MSA",0.84,0.84,NA,0.47,NA,1.04,0.21,0.91,1.17,0.77,NA,0.84,0.75,0.11
"363","C4530","Tampa-St. Petersburg-Clearwater, FL MSA",1.14,1.05,1.45,0.76,1.03,1.11,0.58,0.61,0.93,1.18,NA,1.1,1.02,0.31
"364","C4546","Terre Haute, IN MSA",0.93,1.06,0.66,1.51,0.45,1,1.87,1.16,0.93,0.55,NA,0.87,0.98,NA
"365","C4550","Texarkana, TX-AR MSA",0.8,1.02,0.7,0.91,NA,1.04,1.04,0.5,NA,0.48,NA,0.91,1.21,0.07
"366","C4554","The Villages, FL MSA",2.32,1.16,0.75,1.13,0.13,1.41,0.5,1.16,0.58,0.42,NA,0.92,1.01,0.16
"367","C4578","Toledo, OH MSA",0.92,1.12,0.58,1.33,0.5,1.03,1.71,0.28,0.99,0.87,NA,0.95,1,0.07
"368","C4582","Topeka, KS MSA",1.1,1.08,NA,0.83,NA,0.73,0.76,0.36,1,0.87,NA,0.9,0.8,NA
"369","C4594","Trenton, NJ MSA",0.45,1.11,1.32,0.37,1,0.58,0.37,0.06,0.99,1.12,NA,0.95,0.77,1.53
"370","C4606","Tucson, AZ MSA",0.89,1.16,0.81,0.75,0.64,1.11,0.72,0.57,0.98,1,NA,0.99,0.87,2.01
"371","C4614","Tulsa, OK MSA",1.17,0.96,0.94,1.28,NA,0.93,1.33,1.23,NA,1,NA,0.98,1.08,NA
"372","C4622","Tuscaloosa, AL MSA",0.87,0.55,0.72,1.51,0.43,1.01,1.78,1.91,0.7,0.74,NA,0.76,0.86,NA
"373","C4634","Tyler, TX MSA",0.86,1.46,0.84,0.9,1.13,0.98,0.7,2.28,1.13,0.6,NA,1.04,1.13,0.08
"374","C4652","Urban Honolulu, HI MSA",1.19,0.89,0.78,0.56,0.79,1.36,0.27,0.33,1.37,1.03,NA,1.01,0.95,0
"375","C4654","Utica-Rome, NY MSA",0.53,1.38,0.99,0.82,0.7,0.81,1.06,0.32,0.91,0.47,NA,0.9,0.89,0.79
"376","C4666","Valdosta, GA MSA",0.99,NA,NA,1.04,NA,1.28,0.9,2.12,NA,NA,NA,0.89,1.11,NA
"377","C4670","Vallejo-Fairfield, CA MSA",1.47,1.22,0.66,1.15,0.42,1.03,1,1.08,0.9,0.52,NA,0.93,1.06,2.02
"378","C4694","Vero Beach, FL MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","C4702","Victoria, TX MSA",1.21,1.05,0.87,1.28,NA,0.97,0.66,5.32,NA,0.42,NA,0.93,1.23,0.09
"380","C4722","Vineland-Bridgeton, NJ MSA",0.93,1.11,0.39,1.64,0.4,0.57,1.63,4.03,0.81,0.42,NA,0.8,1.1,1.76
"381","C4726","Virginia Beach-Norfolk-Newport News, VA-NC MSA",NA,0.92,NA,0.82,0.74,1.1,NA,NA,1.01,0.96,NA,0.95,0.91,NA
"382","C4730","Visalia-Porterville, CA MSA",0.66,0.55,0.46,2.41,0.32,0.65,0.88,17.41,0.61,0.44,NA,0.64,0.93,1.7
"383","C4738","Waco, TX MSA",1.27,1.04,0.96,1.41,0.49,0.93,1.66,0.34,0.83,0.72,NA,0.9,0.94,0.09
"384","C4746","Walla Walla, WA MSA",0.72,1.28,0.56,1.95,0.62,0.69,1.44,9.06,0.77,0.25,NA,0.72,0.68,0.19
"385","C4758","Warner Robins, GA MSA",NA,0.57,0.43,0.96,0.22,1.04,NA,0.67,0.55,0.58,NA,0.68,0.76,1.23
"386","C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",NA,0.83,0.83,0.45,1.24,0.94,0.2,NA,1.78,1.6,NA,1.01,0.67,0.96
"387","C4794","Waterloo-Cedar Falls, IA MSA",0.85,0.99,0.98,1.55,0.5,0.85,2.08,0.55,1.19,0.62,NA,0.9,1.03,NA
"388","C4806","Watertown-Fort Drum, NY MSA",0.9,1.02,0.52,0.76,0.8,1.06,0.66,0.89,1.14,0.37,NA,0.88,1.1,0.83
"389","C4814","Wausau, WI MSA",0.75,0.94,1.23,1.87,0.28,0.72,2.59,1.11,0.79,0.53,NA,0.88,1.17,NA
"390","C4826","Weirton-Steubenville, WV-OH MSA",NA,1.4,0.56,1.21,0.48,1.2,1.58,NA,0.97,0.32,NA,0.97,1.15,0.06
"391","C4830","Wenatchee, WA MSA",0.85,0.8,0.47,2.24,0.53,1.01,0.55,17.07,0.58,0.31,NA,0.73,0.93,NA
"392","C4854","Wheeling, WV-OH MSA",NA,1.27,0.7,1.06,0.59,1.1,0.56,NA,1.1,0.66,NA,1,1.09,0.02
"393","C4862","Wichita, KS MSA",1.15,0.98,0.7,1.61,NA,1,2.04,0.38,NA,0.81,NA,0.9,0.93,NA
"394","C4866","Wichita Falls, TX MSA",0.72,1.08,0.79,1.02,0.59,NA,1.02,1.98,1.11,0.47,NA,0.91,1.07,NA
"395","C4870","Williamsport, PA MSA",0.98,1.12,0.71,1.56,0.47,0.78,1.69,2.63,1.25,0.62,NA,0.9,1.06,NA
"396","C4890","Wilmington, NC MSA",1.2,0.81,0.78,0.75,1.31,1.42,0.57,0.41,0.95,0.93,NA,1.01,1.06,NA
"397","C4902","Winchester, VA-WV MSA",NA,1.17,0.93,1.15,NA,0.93,1.35,NA,0.73,NA,NA,0.96,1.11,0.21
"398","C4918","Winston-Salem, NC MSA",0.78,1.31,NA,1.11,NA,0.94,1.44,0.11,0.88,1,NA,1.02,0.97,0
"399","C4934","Worcester, MA-CT MSA",NA,1.5,0.81,1.02,0.63,0.85,1.24,NA,0.97,0.7,NA,1,1.01,0
"400","C4942","Yakima, WA MSA",0.64,0.97,0.37,2.58,0.37,0.61,0.86,19.33,0.46,0.24,NA,0.66,0.9,NA
"401","C4950","Yauco, PR MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","C4962","York-Hanover, PA MSA",1.26,0.99,0.5,1.64,0.46,0.84,2.04,0.36,1.32,0.78,NA,0.92,1.13,NA
"403","C4966","Youngstown-Warren-Boardman, OH-PA MSA",0.84,1.27,0.59,1.25,0.44,1.03,1.61,0.35,0.95,0.69,NA,0.98,1.12,0.04
"404","C4970","Yuba City, CA MSA",0.86,1.04,0.54,1.34,0.38,0.88,0.55,7.74,0.63,0.48,NA,0.81,0.97,2.17
"405","C4974","Yuma, AZ MSA",0.77,0.72,0.48,1.84,0.39,0.8,0.38,14.23,0.58,0.72,NA,0.72,0.82,0.67
