"","area_fips","area_title","construction_lq","ed.health_lq","finance_lq","goods_lq","info_lq","leis.hosp_lq","manufacturing_lq","mining_lq","other.serv_lq","pro.bus_lq","pub.admin_lq","service_lq","trade.trans.util_lq","unclassified_lq"
"87","C1802","Columbus, IN MSA",0.67,0.51,0.5,2.85,0.43,0.76,4.44,0.12,0.5,0.73,NA,0.66,0.77,NA
"88","C1814","Columbus, OH MSA",0.74,0.98,1.28,0.74,NA,0.96,0.83,0.24,NA,1.22,NA,1.05,1.01,0.14
"89","C1858","Corpus Christi, TX MSA",2.04,1.02,0.78,1.2,0.54,1.27,0.56,2.42,0.96,0.62,NA,0.93,0.98,0.09
"90","C1870","Corvallis, OR MSA",0.55,1.1,0.5,0.91,0.82,1,0.92,2.02,1.44,0.83,NA,0.86,0.64,0
"91","C1888","Crestview-Fort Walton Beach-Destin, FL MSA",1.2,0.72,1.05,0.61,0.45,1.84,0.38,0.07,1.11,0.91,NA,1.03,0.97,0.37
"92","C1906","Cumberland, MD-WV MSA",0.73,1.39,0.54,1.03,1.24,1.05,1.32,0.26,0.9,0.42,NA,0.91,0.89,0.06
"93","C1910","Dallas-Fort Worth-Arlington, TX MSA",1.12,0.8,1.44,0.95,1.21,0.98,0.91,0.67,0.87,1.16,NA,1.05,1.12,0.2
"94","C1914","Dalton, GA MSA",0.39,0.57,0.31,2.51,NA,0.59,3.98,0.27,0.46,0.63,NA,0.75,1.3,NA
"95","C1918","Danville, IL MSA",0.45,0.57,0.78,1.47,0.41,0.78,2.15,0.49,0.91,0.51,NA,0.83,1.36,0.27
"96","C1930","Daphne-Fairhope-Foley, AL MSA",1.06,0.89,0.97,0.81,0.25,1.86,0.68,0.75,0.93,0.52,NA,1.07,1.31,NA
"97","C1934","Davenport-Moline-Rock Island, IA-IL MSA",1.11,0.97,0.69,1.26,0.63,0.92,1.49,0.3,1.15,0.96,NA,0.97,1.08,0.2
"98","C1938","Dayton, OH MSA",0.7,1.24,0.81,0.98,1.12,0.97,1.26,0.13,0.89,0.93,NA,0.99,0.93,0.08
"99","C1946","Decatur, AL MSA",1.28,0.65,0.66,2.01,NA,0.92,2.65,0.41,NA,0.71,NA,0.78,0.97,NA
"100","C1950","Decatur, IL MSA",1.39,1.12,0.67,1.82,0.6,0.94,2.32,0.15,0.94,0.43,NA,0.89,1.1,0.61
"101","C1966","Deltona-Daytona Beach-Ormond Beach, FL MSA",1.3,1.3,0.82,0.86,0.68,1.47,0.67,0.61,1.07,0.77,NA,1.07,1,0.39
"102","C1974","Denver-Aurora-Lakewood, CO MSA",1.3,0.84,1.28,0.81,1.68,1.04,0.56,0.73,0.99,1.3,NA,1.06,0.97,0.06
"103","C1978","Des Moines-West Des Moines, IA MSA",1.11,0.88,2.77,0.76,0.97,0.87,0.66,0.28,1.1,0.95,NA,1.09,1.01,NA
"104","C1982","Detroit-Warren-Dearborn, MI MSA",0.74,1.05,0.92,1.1,0.68,0.93,1.45,0.11,1,1.4,NA,1.06,0.98,0.97
"105","C2002","Dothan, AL MSA",0.97,0.97,0.62,0.93,NA,0.97,0.9,1.01,NA,0.52,NA,0.96,1.46,NA
"106","C2010","Dover, DE MSA",0.86,0.99,0.44,NA,0.3,1.17,0.84,NA,0.83,0.45,NA,0.85,1.03,NA
"107","C2022","Dubuque, IA MSA",0.93,1.21,1.28,1.39,0.77,0.95,1.82,0.24,0.95,0.7,NA,1.02,1.11,NA
"108","C2026","Duluth, MN-WI MSA",1,1.55,0.75,0.89,0.56,1.02,0.66,1.87,1.14,0.45,NA,0.98,0.99,NA
"109","C2050","Durham-Chapel Hill, NC MSA",0.55,1.41,0.86,0.9,0.8,0.86,1.18,0.26,0.9,0.98,NA,0.95,0.67,NA
"110","C2070","East Stroudsburg, PA MSA",0.63,0.88,0.51,0.82,0.25,1.89,1.02,0.19,1.1,0.41,NA,0.98,1.18,NA
"111","C2074","Eau Claire, WI MSA",0.89,1.26,0.78,1.21,0.59,0.92,1.48,0.64,0.95,0.78,NA,0.99,1.09,NA
"112","C2094","El Centro, CA MSA",0.73,0.88,0.36,1.76,0.25,0.6,0.21,14.6,0.41,0.27,NA,0.66,0.98,1.27
"113","C2106","Elizabethtown-Fort Knox, KY MSA",0.72,0.6,0.7,1.22,NA,0.93,1.64,0.32,NA,0.79,NA,0.78,0.83,0.09
"114","C2114","Elkhart-Goshen, IN MSA",0.53,0.59,0.38,3.46,0.2,0.55,5.54,0.15,0.62,0.54,NA,0.59,0.77,0
"115","C2130","Elmira, NY MSA",0.77,1.25,0.69,1.29,0.55,0.85,1.66,0.67,0.97,0.46,NA,0.92,1.15,0.3
"116","C2134","El Paso, TX MSA",NA,0.94,0.72,0.74,NA,1.05,NA,0.29,0.75,NA,NA,0.95,1.13,0.12
"117","C2150","Erie, PA MSA",0.66,1.41,0.84,1.43,0.43,1.05,2.02,0.28,1.23,0.53,NA,0.96,0.91,NA
"118","C2166","Eugene, OR MSA",0.88,1.08,0.77,0.97,1.11,1.02,1.02,1.02,1.36,0.77,NA,0.98,1.04,0.05
"119","C2178","Evansville, IN-KY MSA",1.41,1.17,0.56,1.5,0.54,0.96,1.73,0.42,1.13,0.83,NA,0.96,1.03,0
"120","C2182","Fairbanks, AK MSA",1.88,0.93,0.6,0.84,0.66,1.06,0.18,1.54,0.79,0.44,NA,0.86,1.12,0.6
"121","C2194","Fajardo, PR MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","C2202","Fargo, ND-MN MSA",1.49,1.03,1.38,0.99,1.18,0.96,0.84,0.34,1.04,0.84,NA,1.05,1.16,NA
