"","city_name","msa","odc_score","odc_rank","home_value","construction","ed_health","finance","goods","information","leis_hosp","manufacturing","mining","other_serv","pro_bus","service","trad_trans_util","unclassified"
"176",NA,"Florence, SC MSA",NA,NA,115300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",NA,"Fond du Lac, WI MSA",NA,NA,146700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",NA,"Fort Collins, CO MSA",NA,NA,298100,1.4,0.69,0.75,1.08,0.94,1.25,0.99,0.6,0.89,0.95,0.9,0.89,0.07
"179",NA,"Fort Smith, AR-OK MSA",NA,NA,108400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",NA,"Fort Wayne, IN MSA",NA,NA,123700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",NA,"Fresno, CA MSA",NA,NA,220100,0.89,1.06,0.63,1.62,0.54,0.78,0.78,9.07,0.94,0.61,0.83,0.9,1.67
"182",NA,"Gadsden, AL MSA",NA,NA,99200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",NA,"Gainesville, GA MSA",NA,NA,173600,0.91,1.08,0.58,1.87,0.4,0.82,2.64,0.23,0.58,0.64,0.85,1,1.7
"184",NA,"Gettysburg, PA MSA",NA,NA,193800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",NA,"Glens Falls, NY MSA",NA,NA,163200,0.86,1.01,0.62,1.1,0.83,1.34,1.26,0.89,1.1,0.73,0.94,0.9,0.82
"186",NA,"Goldsboro, NC MSA",NA,NA,119600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",NA,"Grand Forks, ND-MN MSA",NA,NA,177000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",NA,"Grand Island, NE MSA",NA,NA,134200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",NA,"Grand Junction, CO MSA",NA,NA,198800,1.42,1.08,0.9,1.08,0.57,1.13,0.54,3.27,0.93,0.65,0.98,1.13,0.38
"190",NA,"Grants Pass, OR MSA",NA,NA,232700,0.71,1.24,0.78,1.14,0.51,1.09,1.33,1.3,1.59,0.57,0.99,1.06,0.07
"191",NA,"Great Falls, MT MSA",NA,NA,168600,1.36,1.21,1,0.7,0.81,1.29,0.41,0.33,1.14,0.66,1.05,1.13,0.03
"192",NA,"Greeley, CO MSA",NA,NA,242700,2.04,0.6,0.76,2.24,0.33,0.77,1.42,7.89,0.73,0.7,0.74,0.92,0.06
"193",NA,"Green Bay, WI MSA",NA,NA,158600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",NA,"Greensboro-High Point, NC MSA",NA,NA,144900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",NA,"Greenville-Anderson-Mauldin, SC MSA",NA,NA,146400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",NA,"Gulfport-Biloxi-Pascagoula, MS MSA",NA,NA,134200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",NA,"Hagerstown-Martinsburg, MD-WV MSA",NA,NA,186900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",NA,"Hammond, LA MSA",NA,NA,136700,0.54,0.98,0.61,0.61,0.46,1.13,0.67,0.42,1.12,0.41,0.96,1.38,0.22
"199",NA,"Hanford-Corcoran, CA MSA",NA,NA,183000,0.43,0.89,0.39,1.94,0.25,0.65,1.2,11.28,0.37,0.21,0.57,0.65,1.21
"200",NA,"Harrisburg-Carlisle, PA MSA",NA,NA,172600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",NA,"Harrisonburg, VA MSA",NA,NA,198700,1.15,0.87,0.58,1.58,0.87,1.2,1.83,1.44,0.66,0.43,0.86,1.08,0.16
"202",NA,"Hattiesburg, MS MSA",NA,NA,136800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",NA,"Hickory-Lenoir-Morganton, NC MSA",NA,NA,122000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",NA,"Hilton Head Island-Bluffton-Beaufort, SC MSA",NA,NA,253500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",NA,"Hinesville, GA MSA",NA,NA,114100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",NA,"Homosassa Springs, FL MSA",NA,NA,115900,1.74,1.58,0.6,0.68,0.56,1.24,0.15,0.45,0.91,0.64,1.09,1.2,0.18
"207",NA,"Hot Springs, AR MSA",NA,NA,134500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,"Houma-Thibodaux, LA MSA",NA,NA,143800,1.14,0.7,0.8,1.6,0.31,0.81,1.15,5.9,0.68,0.62,0.91,1.47,0.02
"209",NA,"Huntington-Ashland, WV-KY-OH MSA",NA,NA,115700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",NA,"Idaho Falls, ID MSA",NA,NA,165200,1.13,0.97,0.57,0.97,0.73,0.87,0.76,1.73,0.72,1.36,1.04,1.21,0
"211",NA,"Indianapolis-Carmel-Anderson, IN MSA",NA,NA,148000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",NA,"Iowa City, IA MSA",NA,NA,186600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,"Ithaca, NY MSA",NA,NA,195100,0.41,2.79,0.6,0.69,0.45,0.82,0.77,1.12,1.06,0.48,1.11,0.64,0.85
"214",NA,"Jackson, MI MSA",NA,NA,127800,0.65,1.14,0.53,1.38,0.29,0.81,1.95,0.24,1.11,0.81,0.94,1.14,0.48
"215",NA,"Jackson, MS MSA",NA,NA,145300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,"Jackson, TN MSA",NA,NA,129200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,"Jacksonville, NC MSA",NA,NA,147400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,"Janesville-Beloit, WI MSA",NA,NA,133300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",NA,"Jefferson City, MO MSA",NA,NA,151500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,"Johnson City, TN MSA",NA,NA,137800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,"Johnstown, PA MSA",NA,NA,89100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,"Jonesboro, AR MSA",NA,NA,122100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,"Joplin, MO MSA",NA,NA,123300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,"Kahului-Wailuku-Lahaina, HI MSA",NA,NA,569300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,"Kalamazoo-Portage, MI MSA",NA,NA,143400,0.85,1.06,1.06,1.43,0.33,1.03,1.7,1.62,0.99,0.78,0.94,0.95,0.35
"226",NA,"Kankakee, IL MSA",NA,NA,136300,0.6,1.32,0.76,1.15,0.52,0.82,1.51,0.67,0.88,0.48,0.96,1.22,0.78
"227",NA,"Kennewick-Richland, WA MSA",NA,NA,191700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",NA,"Killeen-Temple, TX MSA",NA,NA,130000,1.16,1.07,0.88,0.76,0.56,0.96,0.62,0.3,0.91,0.5,0.88,1,0.1
"229",NA,"Kingsport-Bristol-Bristol, TN-VA MSA",NA,NA,122800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,"Kingston, NY MSA",NA,NA,216900,0.88,1.13,0.67,0.78,0.73,1.17,0.64,1.28,1.2,0.51,0.95,1.07,1.89
"231",NA,"Knoxville, TN MSA",NA,NA,158300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,"Kokomo, IN MSA",NA,NA,100800,0.54,0.94,0.52,2.24,0.28,1.01,3.47,0.16,0.86,0.48,0.78,0.87,0
"233",NA,"La Crosse-Onalaska, WI-MN MSA",NA,NA,159000,0.82,1.43,0.92,1.04,0.76,1.01,1.29,0.22,1.13,0.59,1.02,1.08,0
"234",NA,"Lafayette-West Lafayette, IN MSA",NA,NA,138300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",NA,"Lafayette, LA MSA",NA,NA,147100,1.17,0.92,0.94,1.58,0.63,0.97,0.97,6.63,0.73,0.76,0.92,1.08,0.08
"236",NA,"Lake Charles, LA MSA",NA,NA,139700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",NA,"Lake Havasu City-Kingman, AZ MSA",NA,NA,139400,1.02,1.21,0.63,0.79,0.73,1.37,0.71,0.52,1.06,0.49,1.03,1.23,1.66
"238",NA,"Lakeland-Winter Haven, FL MSA",NA,NA,123100,1.16,0.98,1.01,1.07,0.39,0.99,0.91,1.71,0.77,0.87,1.01,1.28,0.27
"239",NA,"Lancaster, PA MSA",NA,NA,197400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",NA,"Lansing-East Lansing, MI MSA",NA,NA,138500,0.68,0.96,1.18,0.91,0.68,0.84,1.08,0.54,1.22,0.72,0.89,0.87,0.68
"241",NA,"Laredo, TX MSA",NA,NA,117600,0.41,1.03,0.7,0.36,0.32,1.01,0.08,1.86,0.55,0.58,1.03,1.63,0.02
"242",NA,"Las Cruces, NM MSA",NA,NA,146700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",NA,"Las Vegas-Henderson-Paradise, NV MSA",NA,NA,217300,1.22,0.62,0.87,0.54,0.59,2.87,0.27,0.04,0.79,0.99,1.16,0.97,0.18
"244",NA,"Lawrence, KS MSA",NA,NA,179700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",NA,"Lawton, OK MSA",NA,NA,118200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",NA,"Lebanon, PA MSA",NA,NA,162700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",NA,"Lewiston-Auburn, ME MSA",NA,NA,147500,1.05,1.51,0.76,1.09,0.55,0.68,1.19,0.61,0.72,1.03,1.05,1.09,0.01
"248",NA,"Lewiston, ID-WA MSA",NA,NA,178500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",NA,"Lima, OH MSA",NA,NA,113500,0.79,1.37,0.47,1.46,0.62,0.94,2.01,0.22,1.16,0.66,0.95,0.99,0.02
"250",NA,"Little Rock-North Little Rock-Conway, AR MSA",NA,NA,149900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,"Logan, UT-ID MSA",NA,NA,200600,0.98,0.8,0.64,1.76,0.74,0.82,2.32,0.83,0.54,0.76,0.78,0.85,0.01
"252",NA,"Longview, TX MSA",NA,NA,123900,2.25,1.02,0.72,1.81,0.67,0.82,1.17,4.37,0.73,0.64,0.87,1.06,0.08
"253",NA,"Longview, WA MSA",NA,NA,187900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",NA,"Lubbock, TX MSA",NA,NA,120700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",NA,"Lynchburg, VA MSA",NA,NA,162900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",NA,"Macon, GA MSA",NA,NA,112500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",NA,"Madera, CA MSA",NA,NA,232800,0.68,1.08,0.32,2.33,0.41,0.62,0.88,16.56,0.61,0.42,0.65,0.61,1.9
"258",NA,"Manchester-Nashua, NH MSA",NA,NA,256200,0.77,1.15,1.13,1.09,1.32,0.86,1.42,0.08,1.11,1,1.05,1.05,0.06
"259",NA,"Manhattan, KS MSA",NA,NA,189300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",NA,"Mankato-North Mankato, MN MSA",NA,NA,172400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",NA,"Mansfield, OH MSA",NA,NA,102600,0.87,1.04,0.5,1.58,0.7,0.93,2.17,0.2,0.87,0.71,0.88,1,0.03
"262",NA,"McAllen-Edinburg-Mission, TX MSA",NA,NA,81700,0.6,1.72,0.64,0.52,0.45,0.86,0.31,1.55,0.52,0.45,0.99,1.14,0.16
"263",NA,"Medford, OR MSA",NA,NA,243500,0.91,1.16,0.68,1.09,0.8,1.16,1.03,2.03,1.3,0.6,1,1.17,0.04
"264",NA,"Memphis, TN-MS-AR MSA",NA,NA,139800,0.76,0.97,0.77,0.76,0.48,1,0.86,0.17,0.81,1.09,1.08,1.41,0.02
"265",NA,"Merced, CA MSA",NA,NA,210100,0.54,0.77,0.36,2.27,0.22,0.65,1.44,12.9,0.5,0.35,0.63,0.83,1.49
"266",NA,"Michigan City-La Porte, IN MSA",NA,NA,126000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",NA,"Midland, MI MSA",NA,NA,138500,1.35,1.14,0.49,1.59,1.13,0.81,1.94,0.21,1.95,1.36,0.98,0.64,0.8
"268",NA,"Midland, TX MSA",NA,NA,195800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",NA,"Milwaukee-Waukesha-West Allis, WI MSA",NA,NA,198600,0.75,1.24,1.12,1.24,0.87,0.86,1.68,0.12,1.11,1.06,1.02,0.91,0.03
"270",NA,"Mobile, AL MSA",NA,NA,120500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",NA,"Modesto, CA MSA",NA,NA,243500,1.02,1.1,0.51,1.66,0.26,0.91,1.34,5.67,0.77,0.56,0.86,1.03,2.06
"272",NA,"Monroe, LA MSA",NA,NA,124100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",NA,"Monroe, MI MSA",NA,NA,145800,1.09,0.9,0.42,1.32,0.31,1.02,1.5,0.95,0.9,0.75,0.97,1.42,0.37
"274",NA,"Montgomery, AL MSA",NA,NA,138000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",NA,"Morgantown, WV MSA",NA,NA,163700,1.14,1.41,0.45,0.93,0.63,1.1,0.84,0.83,0.96,0.69,0.93,0.78,0.07
"276",NA,"Morristown, TN MSA",NA,NA,134000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",NA,"Mount Vernon-Anacortes, WA MSA",NA,NA,255900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",NA,"Muncie, IN MSA",NA,NA,94100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",NA,"Muskegon, MI MSA",NA,NA,105400,0.67,1.17,0.47,1.73,0.6,1.01,2.47,0.63,0.92,0.45,0.9,1.11,0.39
"280",NA,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",NA,NA,177300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",NA,"Napa, CA MSA",NA,NA,555900,1.21,0.82,0.55,1.9,0.3,1.54,1.81,4.65,0.88,0.65,0.83,0.69,2.38
"282",NA,"Naples-Immokalee-Marco Island, FL MSA",NA,NA,315000,2.15,0.95,1.03,1.05,0.54,1.8,0.28,2.21,1.43,0.77,1.07,1,0.09
"283",NA,"New Bern, NC MSA",NA,NA,149500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284",NA,"New Haven-Milford, CT MSA",NA,NA,244400,0.8,1.74,0.81,0.83,0.64,0.8,0.96,0.19,1.25,0.8,1.06,0.96,0.12
"285",NA,"Niles-Benton Harbor, MI MSA",NA,NA,141200,0.6,0.95,0.6,1.75,0.37,1.08,2.41,1.38,0.94,0.73,0.86,0.88,0.74
"286",NA,"North Port-Sarasota-Bradenton, FL MSA",NA,NA,208100,1.56,1.19,0.92,1,0.63,1.41,0.66,1.3,1.14,0.92,1.08,1.02,0.28
"287",NA,"Norwich-New London, CT MSA",NA,NA,240900,0.66,1.04,0.4,1.1,0.42,1.1,1.4,0.66,0.95,0.49,0.83,0.94,0.1
"288",NA,"Ocala, FL MSA",NA,NA,120500,1.39,1.18,0.73,1.09,0.41,1.12,0.88,1.37,0.86,0.64,0.99,1.19,0.36
"289",NA,"Ocean City, NJ MSA",NA,NA,311800,1.11,0.77,0.73,0.52,0.28,2.53,0.24,0.39,1.13,0.4,1.03,0.97,3.54
"290",NA,"Odessa, TX MSA",NA,NA,126100,2.06,0.47,0.84,2.04,0.28,1,0.8,9.59,1.29,0.4,0.81,1.24,0.02
"291",NA,"Ogden-Clearfield, UT MSA",NA,NA,216200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",NA,"Olympia-Tumwater, WA MSA",NA,NA,244800,0.89,0.94,0.63,0.6,0.44,0.83,0.35,1.14,1.07,0.69,0.82,0.87,0.01
"293",NA,"Omaha-Council Bluffs, NE-IA MSA",NA,NA,155200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294",NA,"Orlando-Kissimmee-Sanford, FL MSA",NA,NA,176100,1.16,0.83,1.12,0.64,1.04,1.98,0.41,0.34,0.95,1.14,1.15,1,0.3
"295",NA,"Oshkosh-Neenah, WI MSA",NA,NA,144200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",NA,"Owensboro, KY MSA",NA,NA,115000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",NA,"Oxnard-Thousand Oaks-Ventura, CA MSA",NA,NA,528700,0.97,0.86,0.99,1.52,0.81,1.04,1.08,6.01,0.84,0.78,0.91,0.96,2.6
"298",NA,"Palm Bay-Melbourne-Titusville, FL MSA",NA,NA,158800,1.21,1.12,0.62,1.1,0.55,1.2,1.21,0.09,1,0.98,0.99,0.94,0.16
"299",NA,"Panama City, FL MSA",NA,NA,164900,1.16,0.89,0.96,0.69,0.66,1.61,0.51,0.3,0.86,0.85,1.04,1.06,0.23
"300",NA,"Parkersburg-Vienna, WV MSA",NA,NA,109000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",NA,"Pensacola-Ferry Pass-Brent, FL MSA",NA,NA,142700,1.29,1.11,1.26,0.67,0.7,1.22,0.42,0.23,0.95,0.91,1.05,1,0.36
"302",NA,"Peoria, IL MSA",NA,NA,137100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",NA,"Pine Bluff, AR MSA",NA,NA,81900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",NA,"Pittsfield, MA MSA",NA,NA,209400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305",NA,"Pocatello, ID MSA",NA,NA,151500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306",NA,"Port St. Lucie, FL MSA",NA,NA,165800,1.38,1.21,0.68,0.83,0.46,1.23,0.53,0.94,1.37,0.81,1.06,1.14,0.6
"307",NA,"Prescott, AZ MSA",NA,NA,216300,1.34,1.26,0.55,0.94,0.47,1.38,0.63,1.49,0.87,0.48,0.98,1.08,1.73
"308",NA,"Provo-Orem, UT MSA",NA,NA,251600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",NA,"Pueblo, CO MSA",NA,NA,148000,1.21,1.31,0.51,0.91,0.57,1.03,0.87,0.22,0.75,0.84,0.95,0.92,0.05
"310",NA,"Punta Gorda, FL MSA",NA,NA,167300,1.63,1.32,0.75,0.7,0.49,1.39,0.2,0.82,1.09,0.67,1.09,1.23,0.06
"311",NA,"Racine, WI MSA",NA,NA,162000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312",NA,"Rapid City, SD MSA",NA,NA,170300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313",NA,"Reading, PA MSA",NA,NA,171100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314",NA,"Redding, CA MSA",NA,NA,238900,0.87,1.44,0.72,0.66,0.56,0.96,0.42,1.44,0.95,0.7,1,1.03,2.46
"315",NA,"Reno, NV MSA",NA,NA,268100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316",NA,"Riverside-San Bernardino-Ontario, CA MSA",NA,NA,299300,1.37,0.95,0.57,0.98,0.43,1.03,0.8,0.83,0.9,0.77,0.97,1.27,2.54
"317",NA,"Roanoke, VA MSA",NA,NA,172600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318",NA,"Rochester, MN MSA",NA,NA,173700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319",NA,"Rochester, NY MSA",NA,NA,138900,0.81,1.38,0.76,1.12,0.88,0.83,1.33,0.75,1.16,0.92,0.98,0.84,0.93
"320",NA,"Rockford, IL MSA",NA,NA,122700,0.7,1.06,0.64,1.72,0.51,0.87,2.5,0.19,1.1,0.75,0.91,1.03,0.35
"321",NA,"Rocky Mount, NC MSA",NA,NA,104700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322",NA,"Rome, GA MSA",NA,NA,120600,0.44,1.58,0.56,1.2,1.04,0.9,1.76,0.21,0.69,0.46,0.97,1.05,0.94
"323",NA,"Saginaw, MI MSA",NA,NA,93500,0.68,1.23,0.71,1.21,0.74,0.97,1.64,0.31,0.95,0.93,1,1.01,0.44
"324",NA,"Salem, OR MSA",NA,NA,205000,1.13,0.96,0.63,1.38,0.31,0.81,0.89,5.17,1.28,0.56,0.78,0.81,0.02
"325",NA,"Salinas, CA MSA",NA,NA,429100,0.61,0.64,0.39,2.32,0.36,1.16,0.34,20.03,0.84,0.49,0.7,0.73,1.49
"326",NA,"Salisbury, MD-DE MSA",NA,NA,218200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",NA,"San Angelo, TX MSA",NA,NA,124000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328",NA,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",NA,NA,508200,1.23,0.79,0.64,1.1,0.63,1.41,0.69,3.14,1.51,0.79,0.95,0.94,2.95
"329",NA,"Santa Cruz-Watsonville, CA MSA",NA,NA,668300,0.78,1.08,0.63,1.23,0.42,1.24,0.74,5.73,1.27,0.69,0.93,0.87,3.1
"330",NA,"Santa Fe, NM MSA",NA,NA,286200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",NA,"Santa Maria-Santa Barbara, CA MSA",NA,NA,547600,0.87,0.86,0.59,1.48,1.13,1.26,0.75,7.89,0.96,0.81,0.87,0.75,2.13
"332",NA,"Santa Rosa, CA MSA",NA,NA,512100,1.27,1.06,0.72,1.34,0.7,1.14,1.24,2.19,1.09,0.73,0.95,0.96,2.84
"333",NA,"Scranton--Wilkes-Barre--Hazleton, PA MSA",NA,NA,132900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334",NA,"Sebastian-Vero Beach, FL MSA",NA,NA,174000,1.45,1.29,0.93,0.96,0.59,1.41,0.46,2.51,1.41,0.69,1.08,1.07,0.18
"335",NA,"Sebring, FL MSA",NA,NA,92600,0.89,1.39,0.53,1.16,0.31,1.01,0.28,7.41,0.73,0.68,0.96,1.05,0.09
"336",NA,"Sheboygan, WI MSA",NA,NA,145000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337",NA,"Sherman-Denison, TX MSA",NA,NA,112300,1.24,1.38,1.15,1.28,0.49,1.02,1.39,0.76,0.72,0.46,0.95,0.96,0.1
"338",NA,"Shreveport-Bossier City, LA MSA",NA,NA,145300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339",NA,"Sierra Vista-Douglas, AZ MSA",NA,NA,146900,0.75,0.85,0.49,0.57,0.67,1.02,0.18,2.4,0.58,0.83,0.84,0.9,0.29
"340",NA,"Sioux City, IA-NE-SD MSA",NA,NA,121700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341",NA,"Sioux Falls, SD MSA",NA,NA,167900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342",NA,"South Bend-Mishawaka, IN-MI MSA",NA,NA,125900,0.81,1.58,0.7,1.19,0.63,0.96,1.53,0.26,1.04,0.68,1.02,0.98,0.25
"343",NA,"Spokane-Spokane Valley, WA MSA",NA,NA,192400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344",NA,"Springfield, IL MSA",NA,NA,134700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345",NA,"Springfield, MA MSA",NA,NA,217200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346",NA,"Springfield, MO MSA",NA,NA,137600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347",NA,"Springfield, OH MSA",NA,NA,102100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348",NA,"St. Cloud, MN MSA",NA,NA,168100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349",NA,"St. George, UT MSA",NA,NA,231400,1.97,1.13,0.7,1.01,0.68,1.4,0.63,0.33,0.85,0.57,1.02,1.21,0.03
"350",NA,"St. Joseph, MO-KS MSA",NA,NA,112900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351",NA,"State College, PA MSA",NA,NA,206600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352",NA,"Staunton-Waynesboro, VA MSA",NA,NA,186900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353",NA,"Stockton-Lodi, CA MSA",NA,NA,278400,0.95,0.99,0.56,1.31,0.43,0.78,0.9,5.01,0.89,0.59,0.91,1.29,1.74
"354",NA,"Sumter, SC MSA",NA,NA,100900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355",NA,"Syracuse, NY MSA",NA,NA,131500,0.85,1.18,0.91,0.85,0.72,0.92,0.93,0.37,1.11,0.76,1,1.1,0.83
"356",NA,"Tallahassee, FL MSA",NA,NA,160100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357",NA,"Terre Haute, IN MSA",NA,NA,87500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358",NA,"Texarkana, TX-AR MSA",NA,NA,97900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359",NA,"The Villages, FL MSA",NA,NA,243500,2.32,1.16,0.75,1.13,0.13,1.41,0.5,1.16,0.58,0.42,0.92,1.01,0.16
