"","city_name","area_title","odc_score","info_lq","home_value","pop_est"
"158",NA,"East Stroudsburg, PA MSA",NA,0.25,166700,166397
"159",NA,"Eau Claire, WI MSA",NA,0.59,151500,165636
"160",NA,"El Centro, CA MSA",NA,0.25,169000,180191
"161",NA,"El Paso, TX MSA",NA,NA,113900,838019
"162",NA,"Elizabethtown-Fort Knox, KY MSA",NA,NA,141500,147877
"163",NA,"Elkhart-Goshen, IN MSA",NA,0.2,134900,203474
"164",NA,"Elmira, NY MSA",NA,0.55,98600,87071
"165",NA,"Erie, PA MSA",NA,0.43,121800,278045
"166",NA,"Eugene, OR MSA",NA,1.11,235800,362895
"167",NA,"Evansville, IN-KY MSA",NA,0.54,130400,315693
"168",NA,"Fairbanks, AK MSA",NA,0.66,229300,99631
"169",NA,"Fargo, ND-MN MSA",NA,1.18,193600,233836
"170",NA,"Farmington, NM MSA",NA,0.21,147800,118737
"171",NA,"Fayetteville-Springdale-Rogers, AR-MO MSA",NA,0.45,159800,515403
"172",NA,"Fayetteville, NC MSA",NA,0.56,127800,376509
"173",NA,"Flagstaff, AZ MSA",NA,0.38,228600,139097
"174",NA,"Flint, MI MSA",NA,1.46,99200,410849
"175",NA,"Florence-Muscle Shoals, AL MSA",NA,0.39,114800,146950
"176",NA,"Florence, SC MSA",NA,0.54,115300,206448
"177",NA,"Fond du Lac, WI MSA",NA,1.07,146700,101973
"178",NA,"Fort Collins, CO MSA",NA,0.94,298100,333577
"179",NA,"Fort Smith, AR-OK MSA",NA,0.55,108400,280241
"180",NA,"Fort Wayne, IN MSA",NA,NA,123700,429820
"181",NA,"Fresno, CA MSA",NA,0.54,220100,974861
"182",NA,"Gadsden, AL MSA",NA,0.45,99200,103057
"183",NA,"Gainesville, GA MSA",NA,0.4,173600,193535
"184",NA,"Gettysburg, PA MSA",NA,0.4,193800,102295
"185",NA,"Glens Falls, NY MSA",NA,0.83,163200,126918
"186",NA,"Goldsboro, NC MSA",NA,0.52,119600,124132
"187",NA,"Grand Forks, ND-MN MSA",NA,0.57,177000,102449
"188",NA,"Grand Island, NE MSA",NA,0.52,134200,84942
"189",NA,"Grand Junction, CO MSA",NA,0.57,198800,148513
"190",NA,"Grants Pass, OR MSA",NA,0.51,232700,84745
"191",NA,"Great Falls, MT MSA",NA,0.81,168600,82278
"192",NA,"Greeley, CO MSA",NA,0.33,242700,285174
"193",NA,"Green Bay, WI MSA",NA,NA,158600,316519
"194",NA,"Greensboro-High Point, NC MSA",NA,0.73,144900,752157
"195",NA,"Greenville-Anderson-Mauldin, SC MSA",NA,0.95,146400,874869
"196",NA,"Gulfport-Biloxi-Pascagoula, MS MSA",NA,0.53,134200,389255
"197",NA,"Hagerstown-Martinsburg, MD-WV MSA",NA,1.11,186900,261486
"198",NA,"Hammond, LA MSA",NA,0.46,136700,128755
"199",NA,"Hanford-Corcoran, CA MSA",NA,0.25,183000,150965
"200",NA,"Harrisburg-Carlisle, PA MSA",NA,0.63,172600,565006
"201",NA,"Harrisonburg, VA MSA",NA,0.87,198700,131131
"202",NA,"Hattiesburg, MS MSA",NA,NA,136800,148610
"203",NA,"Hickory-Lenoir-Morganton, NC MSA",NA,0.3,122000,362510
"204",NA,"Hilton Head Island-Bluffton-Beaufort, SC MSA",NA,0.3,253500,207413
"205",NA,"Hinesville, GA MSA",NA,0.22,114100,78811
"206",NA,"Homosassa Springs, FL MSA",NA,0.56,115900,141058
"207",NA,"Hot Springs, AR MSA",NA,0.7,134500,97177
"208",NA,"Houma-Thibodaux, LA MSA",NA,0.31,143800,212297
"209",NA,"Huntington-Ashland, WV-KY-OH MSA",NA,0.51,115700,361580
"210",NA,"Idaho Falls, ID MSA",NA,0.73,165200,139849
"211",NA,"Indianapolis-Carmel-Anderson, IN MSA",NA,NA,148000,1988152
"212",NA,"Iowa City, IA MSA",NA,1.29,186600,166498
"213",NA,"Ithaca, NY MSA",NA,0.45,195100,104926
"214",NA,"Jackson, MI MSA",NA,0.29,127800,159494
"215",NA,"Jackson, MS MSA",NA,1.03,145300,578561
"216",NA,"Jackson, TN MSA",NA,NA,129200,129682
"217",NA,"Jacksonville, NC MSA",NA,0.38,147400,186311
"218",NA,"Janesville-Beloit, WI MSA",NA,1.21,133300,161448
"219",NA,"Jefferson City, MO MSA",NA,NA,151500,151357
"220",NA,"Johnson City, TN MSA",NA,0.98,137800,200264
"221",NA,"Johnstown, PA MSA",NA,0.67,89100,136411
"222",NA,"Jonesboro, AR MSA",NA,0.47,122100,128394
"223",NA,"Joplin, MO MSA",NA,0.47,123300,177211
"224",NA,"Kahului-Wailuku-Lahaina, HI MSA",NA,0.38,569300,164726
"225",NA,"Kalamazoo-Portage, MI MSA",NA,0.33,143400,335340
"226",NA,"Kankakee, IL MSA",NA,0.52,136300,110879
"227",NA,"Kennewick-Richland, WA MSA",NA,0.37,191700,279116
"228",NA,"Killeen-Temple, TX MSA",NA,0.56,130000,430642
"229",NA,"Kingsport-Bristol-Bristol, TN-VA MSA",NA,NA,122800,305929
"230",NA,"Kingston, NY MSA",NA,0.73,216900,180143
"231",NA,"Knoxville, TN MSA",NA,0.76,158300,861679
"232",NA,"Kokomo, IN MSA",NA,0.28,100800,82556
"233",NA,"La Crosse-Onalaska, WI-MN MSA",NA,0.76,159000,136985
"234",NA,"Lafayette-West Lafayette, IN MSA",NA,NA,138300,214997
